overs_left,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9
50,100.0,96.1,90.9,83.8,74.6,63.3,49.9,34.6,19.5,7.6
49,99.1,95.3,90.2,83.2,74.1,62.9,49.6,34.4,19.4,7.5
48,98.1,94.4,89.4,82.5,73.5,62.4,49.3,34.2,19.3,7.5
47,97.1,93.5,88.5,81.7,72.8,61.8,49.0,34.0,19.2,7.4
46,96.1,92.6,87.7,81.0,72.2,61.3,48.7,33.8,19.1,7.4
45,95.1,91.7,86.8,80.2,71.5,60.7,48.5,33.6,19.0,7.3
44,94.1,90.9,85.9,79.4,70.8,60.1,48.2,33.4,18.9,7.3
43,93.1,90.0,85.1,78.7,70.2,59.5,48.0,33.2,18.8,7.2
42,92.1,89.2,84.3,77.9,69.5,58.9,47.7,33.0,18.7,7.2
41,91.1,88.3,83.5,77.2,69.0,58.3,47.5,32.8,18.6,7.1
40,90.1,87.5,82.7,76.4,68.3,57.8,47.2,32.6,18.5,7.1
39,89.1,86.6,81.9,75.6,67.6,57.2,47.0,32.4,18.4,7.0
38,88.1,85.8,81.1,74.8,66.9,56.6,46.7,32.2,18.3,7.0
37,87.1,84.9,80.3,74.0,66.3,56.1,46.5,32.0,18.2,6.9
36,86.1,84.1,79.5,73.2,65.6,55.5,46.2,31.8,18.1,6.9
35,85.1,83.2,78.7,72.4,64.9,54.9,46.0,31.6,18.0,6.8
34,84.1,82.4,77.9,71.7,64.3,54.3,45.7,31.4,17.9,6.8
33,83.1,81.5,77.1,70.9,63.6,53.8,45.5,31.2,17.8,6.7
32,82.1,80.7,76.3,70.2,63.0,53.3,45.2,31.0,17.7,6.7
31,81.1,79.8,75.5,69.5,62.3,52.7,45.0,30.8,17.6,6.6
30,80.1,79.0,74.7,68.8,61.6,52.1,44.7,30.6,17.5,6.6
29,79.1,78.1,73.9,68.1,60.9,51.5,44.5,30.4,17.4,6.5
28,78.1,77.3,73.1,67.3,60.2,50.9,44.2,30.2,17.3,6.5
27,77.1,76.4,72.3,66.5,59.4,50.3,44.0,30.0,17.2,6.4
26,76.1,75.6,71.5,65.7,58.7,49.8,43.7,29.8,17.1,6.4
25,75.1,74.7,70.7,64.9,57.9,49.2,43.5,29.6,17.0,6.3
24,74.1,73.8,69.8,64.0,56.9,48.6,43.2,29.4,16.9,6.3
23,73.1,72.9,68.9,63.1,55.9,48.1,42.9,29.2,16.8,6.2
22,72.1,72.0,68.0,62.2,54.9,47.5,42.6,29.0,16.7,6.2
21,71.1,71.1,67.1,61.3,54.0,46.9,42.4,28.8,16.6,6.1
20,70.1,70.1,66.1,60.3,53.0,46.3,42.2,28.6,16.5,6.1
19,69.1,69.2,65.1,59.3,52.0,45.7,42.0,28.4,16.4,6.0
18,68.1,68.3,64.1,58.3,51.0,45.0,41.8,28.2,16.3,6.0
17,67.1,67.4,63.1,57.3,50.0,44.3,41.6,28.0,16.2,5.9
16,66.1,66.5,62.1,56.3,49.0,43.6,41.4,27.8,16.1,5.9
15,65.1,65.6,61.1,55.3,48.0,42.9,41.2,27.6,16.0,5.8
14,64.1,64.7,60.1,54.3,47.0,42.2,41.0,27.4,15.9,5.8
13,63.1,63.8,59.1,53.3,46.0,41.5,40.8,27.2,15.8,5.7
12,62.1,62.9,58.1,52.3,45.0,41.0,40.5,27.0,15.7,5.7
11,61.1,61.9,57.1,51.3,44.0,40.5,40.2,26.8,15.6,5.6
10,60.1,60.9,56.1,50.3,43.0,40.0,40.0,26.6,15.5,5.5
9,55.6,52.6,48.6,43.6,37.4,30.0,21.6,13.4,6.9,2.6
8,50.0,47.5,44.0,39.0,33.3,27.0,18.6,11.0,5.0,2.0
7,45.0,42.5,39.5,35.0,30.0,24.0,16.0,9.5,4.0,1.5
6,40.0,37.5,35.0,31.0,27.0,21.0,14.0,8.0,3.0,1.0
5,35.0,32.5,30.0,27.0,23.0,18.0,12.0,6.5,2.0,0.5
4,30.0,27.5,25.0,22.0,18.0,13.0,9.0,5.0,1.5,0.3
3,25.0,22.5,20.0,17.0,13.0,9.0,6.0,3.5,1.0,0.2
2,20.0,17.5,15.0,12.0,8.0,5.0,3.0,1.5,0.5,0.1
1,10.0,8.0,6.0,4.0,2.0,1.0,0.5,0.2,0.1,0.0
0,0,0,0,0,0,0,0,0,0,0
